Name,Estimate,SE,tStat,DF,pValue,Lower,Upper,Significant,IsInteraction
(Intercept),0.0550387994885246,0.000210106363284659,261.956842373005,17458343,0,0.0546269985550144,0.0554506004220349,1,0
betaGenerated,0.0769434286007418,0.000216067164216855,356.108846430353,17458343,0,0.0765199447112754,0.0773669124902081,1,0
VGF,0.00702102348964122,0.000212698894661396,33.0092147437732,17458343,5.99073704655035e-239,0.00660414128765149,0.00743790569163094,1,0
samplingRate,4.69176480299444e-05,1.30200594532491e-06,36.0348953846261,17458343,2.37803840390251e-284,4.43657630925316e-05,4.94695329673571e-05,1,0
filterType_6,0.0091961844855346,0.00029713526849171,30.9494881984741,17458343,2.5812417161259e-210,0.00861381002037893,0.00977855895069027,1,0
regressionType_4,0.0114753199155091,0.000297135268497407,38.6198514014811,17458343,0,0.0108929454503422,0.0120576943806759,1,0
regressionType_5,0.00322215524643968,0.000297355417960959,10.836040145274,17458343,2.32310162003967e-27,0.00263934929622315,0.00380496119665621,1,0
noiseMagnitude,0.00160681734446148,0.000210133838465778,7.64663776283376,17458343,2.06302422807915e-14,0.00119496256058207,0.00201867212834089,1,0
noiseColor,-0.0120465647927118,0.000210092100204962,-57.3394467519691,17458343,0,-0.0124583377710976,-0.011634791814326,1,0
betaGenerated:VGF,0.00438401152462412,0.000222159249662157,19.7336439121531,17458343,1.10882285829186e-86,0.00394858736626645,0.00481943568298179,1,1
betaGenerated:samplingRate,9.55672405409159e-05,1.31176360416174e-06,72.854011376529,17458343,0,9.29962309422836e-05,9.81382501395482e-05,1,1
VGF:samplingRate,2.8155838475313e-05,1.30516681095162e-06,21.5725976473338,17458343,3.24926021459745e-103,2.55977583546824e-05,3.07139185959436e-05,1,1
betaGenerated:filterType_6,0.00549575489529274,0.000305565114059941,17.9855442994538,17458343,2.52893250859604e-72,0.00489685823528264,0.00609465155530284,1,1
VGF:filterType_6,0.00237314836413921,0.000300801660945128,7.88941243436857,17458343,3.03612576328677e-15,0.00178358790132346,0.00296270882695497,1,1
samplingRate:filterType_6,-1.30448925186675e-05,1.84131446650393e-06,-7.08455440717608,17458343,1.39492402074143e-12,-1.66538028074289e-05,-9.43598222990603e-06,1,1
betaGenerated:regressionType_4,-0.0131630038756696,0.000305565114017487,-43.0775742119444,17458343,0,-0.0137619005355965,-0.0125641072157427,1,1
betaGenerated:regressionType_5,-0.0122661313832669,0.000305954880219066,-40.0913081513335,17458343,0,-0.0128657919709642,-0.0116664707955695,1,1
VGF:regressionType_4,-0.00415798752258531,0.000300801661532576,-13.8230204627211,17458343,1.85135570642668e-43,-0.00474754798655244,-0.00356842705861818,1,1
VGF:regressionType_5,-0.00219179312373008,0.00030100460137481,-7.2815934165766,17458343,3.2990008321893e-13,-0.00278175134250659,-0.00160183490495356,1,1
samplingRate:regressionType_4,-5.27397888920663e-06,1.84131446650393e-06,-2.86428989665888,17458343,0.00418195777127929,-8.88285695337572e-06,-1.66510082503753e-06,1,1
samplingRate:regressionType_5,-8.17315464285803e-06,1.84260898572019e-06,-4.43572407003975,17458343,9.20011219519892e-06,-1.17851521038584e-05,-4.56118847733767e-06,1,1
filterType_6:regressionType_4,-0.00266699432944591,0.000420183895419534,-6.34718059869476,17458343,2.20483827437046e-10,-0.00349054834028855,-0.00184343031860327,1,1
filterType_6:regressionType_5,-0.000643094023820688,0.000420183895419534,-1.53052029700879,17458343,0.125843622148655,-0.00146663803466333,0.000180449987021951,0,1
betaGenerated:noiseMagnitude,0.0247818771148748,0.000222395474618441,111.432393178856,17458343,0,0.0243459793671419,0.0252177748626076,1,1
VGF:noiseMagnitude,0.000723610813127424,0.000218630386126017,3.31019088285696,17458343,0.000935263375050046,0.000295103421547378,0.00115211820470747,1,1
samplingRate:noiseMagnitude,-9.6272226082369e-05,1.30726948437875e-06,-73.6379534869741,17458343,0,-9.88343858143614e-05,-9.37100663503766e-05,1,1
filterType_6:noiseMagnitude,0.00249199695869044,0.000300801661095847,8.28395831165636,17458343,1.23072862978481e-16,0.00190243649338649,0.00308155742399439,1,1
regressionType_4:noiseMagnitude,0.0147625684282827,0.000300801661095847,49.0795764413017,17458343,0,0.0137713474898748,0.0157537893666905,1,1
regressionType_5:noiseMagnitude,0.010530553219006,0.000300932481225994,34.9935060993521,17458343,6.83756734226906e-268,0.00994073438736505,0.0111203720506469,1,1
betaGenerated:noiseColor,-0.0240534785987783,0.000222334826553476,-108.185897272756,17458343,0,-0.0244892460640296,-0.023617711133527,1,1
VGF:noiseColor,-0.00217218374948375,0.000218564580685469,-9.93840047636745,17458343,2.12938660088826e-23,-0.00259856543226498,-0.00174580206670252,1,1
